aaa	
jebh	עמ
jebi	מע
jebj	ףמ
jebk	מף
jebl	פמ
jebm	מפ
jebn	ץמ
jebo	מץ
jebp	צמ
jebq	מצ
jebr	קמ
jebs	מק
jebt	רמ
jebu	מר
jebv	שמ
jebw	מש
jebx	תמ
jeby	מת
jebz	׫מ
jeca	ધધ
jecb	નધ
jecc	ધન
jecd	઩ધ
jece	ધ઩
jecf	પધ
jecg	ધપ
jech	ફધ
jeci	ધફ
jecj	બધ
jeck	ધબ
jecl	ભધ
jecm	ધભ
jecn	મધ
jeco	ધમ
jecp	યધ
jecq	ધય
jecr	રધ
jecs	ધર
ject	઱ધ
jecu	ધ઱
jecv	લધ
jecw	ધલ
jecx	ળધ
jecy	ધળ
jecz	઴ધ
jeda	཰཰
jedb	ཱ཰
jedc	཰ཱ
jedd	ི཰
jede	཰ི
jedf	ཱི཰
jedg	཰ཱི
jedh	ུ཰
jedi	཰ུ
jedj	ཱུ཰
jedk	཰ཱུ
jedl	ྲྀ཰
jedm	཰ྲྀ
jedn	ཷ཰
jedo	཰ཷ
jedp	ླྀ཰
jedq	཰ླྀ
jedr	ཹ཰
jeds	཰ཹ
jedt	ེ཰
jedu	཰ེ
jedv	ཻ཰
jedw	཰ཻ
jedx	ོ཰
jedy	཰ོ
jedz	ཽ཰
jeea	ᐹᐹ
jeeb	ᐺᐹ
jeec	ᐹᐺ
jeed	ᐻᐹ
jeee	ᐹᐻ
jeef	ᐼᐹ
jeeg	ᐹᐼ
jeeh	ᐽᐹ
jeei	ᐹᐽ
jeej	ᐾᐹ
jeek	ᐹᐾ
jeel	ᐿᐹ
jeem	ᐹᐿ
jeen	ᑀᐹ
jeeo	ᐹᑀ
jeep	ᑁᐹ
jeeq	ᐹᑁ
jeer	ᑂᐹ
jees	ᐹᑂ
jeet	ᑃᐹ
jeeu	ᐹᑃ
jeev	ᑄᐹ
jeew	ᐹᑄ
jeex	ᑅᐹ
jeey	ᐹᑅ
jeez	ᑆᐹ
jefa	ᤂᤂ
jefb	ᤃᤂ
jefc	ᤂᤃ
jefd	ᤄᤂ
jefe	ᤂᤄ
jeff	ᤅᤂ
jefg	ᤂᤅ
jefh	ᤆᤂ
jefi	ᤂᤆ
jefj	ᤇᤂ
jefk	ᤂᤇ
jefl	ᤈᤂ
jefm	ᤂᤈ
jefn	ᤉᤂ
jefo	ᤂᤉ
jefp	ᤊᤂ
jefq	ᤂᤊ
jefr	ᤋᤂ
jefs	ᤂᤋ
jeft	ᤌᤂ
jefu	ᤂᤌ
jefv	ᤍᤂ
jefw	ᤂᤍ
jefx	ᤎᤂ
jefy	ᤂᤎ
jefz	ᤏᤂ
jega	᷋᷋
jegb	᷌᷋
jegc	᷋᷌
jegd	᷋᷍
jege	᷋᷍
jegf	᷎᷋
jegg	᷎᷋
jegh	᷏᷋
jegi	᷏᷋
jegj	᷐᷋
jegk	᷐᷋
jegl	᷑᷋
jegm	᷋᷑
jegn	᷒᷋
jego	᷋᷒
jegp	ᷓ᷋
jegq	᷋ᷓ
jegr	ᷔ᷋
jegs	᷋ᷔ
jegt	ᷕ᷋
jegu	᷋ᷕ
jegv	ᷖ᷋
jegw	᷋ᷖ
jegx	ᷗ᷋
jeha	⊔⊔
jehb	⊕⊔
jehc	⊔⊕
jehd	⊖⊔
jehe	⊔⊖
jehf	⊗⊔
jehg	⊔⊗
jehh	⊘⊔
jehi	⊔⊘
jehj	⊙⊔
jehk	⊔⊙
jehl	⊚⊔
jehm	⊔⊚
jehn	⊛⊔
jeho	⊔⊛
jehp	⊜⊔
jehq	⊔⊜
jehr	⊝⊔
jehs	⊔⊝
jeht	⊞⊔
jehu	⊔⊞
jehv	⊟⊔
jehw	⊔⊟
jeia	❝❝
jeib	❞❝
jeic	❝❞
jeid	❟❝
jeie	❝❟
jeif	❠❝
jeig	❝❠
jeih	❡❝
jeii	❝❡
jeij	❢❝
jeik	❝❢
jeil	❣❝
jeim	❝❣
jein	❤❝
jeio	❝❤
jeip	❥❝
jeiq	❝❥
jeir	❦❝
jeis	❝❦
jeit	❧❝
jeiu	❝❧
jeja	ⰦⰦ
jejb	ⰧⰦ
jejc	ⰦⰧ
jejd	ⰨⰦ
jeje	ⰦⰨ
jejf	ⰩⰦ
jejg	ⰦⰩ
jejh	ⰪⰦ
jeji	ⰦⰪ
jejj	ⰫⰦ
jejk	ⰦⰫ
jejl	ⰬⰦ
jejm	ⰦⰬ
jejn	ⰭⰦ
jejo	ⰦⰭ
jejp	ⰮⰦ
jejq	ⰦⰮ
jejr	ⰯⰦ
jejs	ⰦⰯ
jejt	ⰰⰦ
jeju	Ⱖⰰ
jeka	ワワ
jekb	ヰワ
jekc	ワヰ
jekd	ヱワ
jeke	ワヱ
jekf	ヲワ
jekg	ワヲ
jekh	ンワ
jeki	ワン
jekj	ヴワ
jekk	ワヴ
jekl	ヵワ
jekm	ワヵ
jekn	ヶワ
jeko	ワヶ
jekp	ヷワ
jekq	ワヷ
jekr	ヸワ
jeks	ワヸ
jfaa	ĸĸ
jfab	Ĺĸ
jfac	ĸĹ
jfad	ĺĸ
jfae	ĸĺ
jfaf	Ļĸ
jfag	ĸĻ
jfah	ļĸ
jfai	ĸļ
jfaj	Ľĸ
jfak	ĸĽ
jfal	ľĸ
jfam	ĸľ
jfan	Ŀĸ
jfao	ĸĿ
jfap	ŀĸ
jfaq	ĸŀ
jfar	Łĸ
jfas	ĸŁ
jfat	łĸ
jfau	ĸł
jfav	Ńĸ
jfaw	ĸŃ
jfax	ńĸ
jfay	ĸń
jfaz	Ņĸ
jfba	؁؁
jfbb	؂؁
jfbc	؁؂
jfbd	؃؁
jfbe	؁؃
jfbf	؄؁
jfbg	؁؄
jfbh	؅؁
jfbi	؁؅
jfbj	؆؁
jfbk	؁؆
jfbl	؇؁
jfbm	؁؇
jfbn	؈؁
jfbo	؁؈
jfbp	؉؁
jfbq	؁؉
jfbr	؊؁
jfbs	؁؊
jfbt	؋؁
jfbu	؁؋
jfbv	،؁
jfbw	؁،
jfbx	؍؁
jfby	؁؍
jfbz	؎؁
jfca	૊૊
jfcb	ો૊
jfcc	૊ો
jfcd	ૌ૊
jfce	૊ૌ
jfcf	્૊
jfcg	૊્
jfch	૎૊
jfci	૊૎
jfcj	૏૊
jfck	૊૏
jfcl	ૐ૊
jfcm	૊ૐ
jfcn	૑૊
jfco	૊૑
jfcp	૒૊
jfcq	૊૒
jfcr	૓૊
jfcs	૊૓
jfct	૔૊
jfcu	૊૔
jfcv	૕૊
jfcw	૊૕
jfcx	૖૊
jfcy	૊૖
jfcz	૗૊
jfda	ྒྷྒྷ
jfdb	ྔྒྷ
jfdc	ྒྷྔ
jfdd	ྕྒྷ
jfde	ྒྷྕ
jfdf	ྖྒྷ
jfdg	ྒྷྖ
jfdh	ྗྒྷ
jfdi	ྒྷྗ
jfdj	྘ྒྷ
jfdk	ྒྷ྘
jfdl	ྙྒྷ
jfdm	ྒྷྙ
jfdn	ྚྒྷ
jfdo	ྒྷྚ
jfdp	ྛྒྷ
jfdq	ྒྷྛ
jfdr	ྜྒྷ
jfds	ྒྷྜ
jfdt	ྜྷྒྷ
jfdu	ྒྷྜྷ
jfdv	ྞྒྷ
jfdw	ྒྷྞ
jfdx	ྟྒྷ
jfdy	ྒྷྟ
jfdz	ྠྒྷ
jfea	ᑜᑜ
jfeb	ᑝᑜ
jfec	ᑜᑝ
jfed	ᑞᑜ
jfee	ᑜᑞ
jfef	ᑟᑜ
jfeg	ᑜᑟ
jfeh	ᑠᑜ
jfei	ᑜᑠ
jfej	ᑡᑜ
jfek	ᑜᑡ
jfel	ᑢᑜ
jfem	ᑜᑢ
jfen	ᑣᑜ
jfeo	ᑜᑣ
jfep	ᑤᑜ
jfeq	ᑜᑤ
jfer	ᑥᑜ
jfes	ᑜᑥ
jfet	ᑦᑜ
jfeu	ᑜᑦ
jfev	ᑧᑜ
jfew	ᑜᑧ
jfex	ᑨᑜ
jfey	ᑜᑨ
jfez	ᑩᑜ
jffa	ᤥᤥ
jffb	ᤦᤥ
jffc	ᤥᤦ
jffd	ᤧᤥ
jffe	ᤥᤧ
jfff	ᤨᤥ
jffg	ᤥᤨ
jffh	ᤩᤥ
jffi	ᤥᤩ
jffj	ᤪᤥ
jffk	ᤥᤪ
jffl	ᤫᤥ
jffm	ᤥᤫ
jffn	᤬ᤥ
jffo	ᤥ᤬
jffp	᤭ᤥ
jffq	ᤥ᤭
jffr	᤮ᤥ
jffs	ᤥ᤮
jfft	᤯ᤥ
jffu	ᤥ᤯
jffv	ᤰᤥ
jffw	ᤥᤰ
jffx	ᤱᤥ
jffy	ᤥᤱ
jfga	ᷮᷮ
jfgb	ᷯᷮ
jfgc	ᷮᷯ
jfgd	ᷰᷮ
jfge	ᷮᷰ
jfgf	ᷱᷮ
jfgg	ᷮᷱ
jfgh	ᷲᷮ
jfgi	ᷮᷲ
jfgj	ᷳᷮ
jfgk	ᷮᷳ
jfgl	ᷴᷮ
jfgm	ᷮᷴ
jfgn	᷵ᷮ
jfgo	ᷮ᷵
jfgp	ᷮ᷶
jfgq	ᷮ᷶
jfgr	᷷ᷮ
jfgs	᷷ᷮ
jfgt	᷸ᷮ
jfgu	᷸ᷮ
jfgv	᷹ᷮ
jfgw	᷹ᷮ
jfgx	᷺ᷮ
jfha	⊷⊷
jfhb	⊸⊷
jfhc	⊷⊸
jfhd	⊹⊷
jfhe	⊷⊹
jfhf	⊺⊷
jfhg	⊷⊺
jfhh	⊻⊷
jfhi	⊷⊻
jfhj	⊼⊷
jfhk	⊷⊼
jfhl	⊽⊷
jfhm	⊷⊽
jfhn	⊾⊷
jfho	⊷⊾
jfhp	⊿⊷
jfhq	⊷⊿
jfhr	⋀⊷
jfhs	⊷⋀
jfht	⋁⊷
jfhu	⊷⋁
jfhv	⋂⊷
jfhw	⊷⋂
jfia	➀➀
jfib	➁➀
jfic	➀➁
jfid	➂➀
jfie	➀➂
jfif	➃➀
jfig	➀➃
jfih	➄➀
jfii	➀➄
jfij	➅➀
jfik	➀➅
jfil	➆➀
jfim	➀➆
jfin	➇➀
jfio	➀➇
jfip	➈➀
jfiq	➀➈
jfir	➉➀
jfis	➀➉
jfit	➊➀
jfiu	➀➊
jfja	ⱉⱉ
jfjb	ⱊⱉ
jfjc	ⱉⱊ
jfjd	ⱋⱉ
jfje	ⱉⱋ
jfjf	ⱌⱉ
jfjg	ⱉⱌ
jfjh	ⱍⱉ
jfji	ⱉⱍ
jfjj	ⱎⱉ
jfjk	ⱉⱎ
jfjl	ⱏⱉ
jfjm	ⱉⱏ
jfjn	ⱐⱉ
jfjo	ⱉⱐ
jfjp	ⱑⱉ
jfjq	ⱉⱑ
jfjr	ⱒⱉ
jfjs	ⱉⱒ
jfjt	ⱓⱉ
jfka	ㄒㄒ
jfkb	ㄓㄒ
jfkc	ㄒㄓ
jfkd	ㄔㄒ
jfke	ㄒㄔ
jfkf	ㄕㄒ
jfkg	ㄒㄕ
jfkh	ㄖㄒ
jfki	ㄒㄖ
jfkj	ㄗㄒ
jfkk	ㄒㄗ
jfkl	ㄘㄒ
jfkm	ㄒㄘ
jfkn	ㄙㄒ
jfko	ㄒㄙ
jfkp	ㄚㄒ
jfkq	ㄒㄚ
jfkr	ㄛㄒ
jfks	ㄒㄛ
jfqa	䷈䷈
jfqb	䷉䷈
jfqc	䷈䷉
jfqd	䷊䷈
jfqe	䷈䷊
jfqf	䷋䷈
jfqg	䷈䷋
jfqh	䷌䷈
jfqi	䷈䷌
jfqj	䷍䷈
jfqk	䷈䷍
jfql	䷎䷈
jfqm	䷈䷎
jfqn	䷏䷈
jfqo	䷈䷏
jgaa	śś
jgab	Ŝś
jgac	śŜ
jgad	ŝś
jgae	śŝ
jgaf	Şś
jgag	śŞ
jgah	şś
jgai	śş
jgaj	Šś
jgak	śŠ
jgal	šś
jgam	śš
jgan	Ţś
jgao	śŢ
jgap	ţś
jgaq	śţ
jgar	Ťś
jgas	śŤ
jgat	ťś
jgau	śť
jgav	Ŧś
jgaw	śŦ
jgax	ŧś
jgay	śŧ
jgaz	Ũś
jgba	ؤؤ
jgbb	إؤ
jgbc	ؤإ
jgbd	ئؤ
jgbe	ؤئ
jgbf	اؤ
jgbg	ؤا
jgbh	بؤ
jgbi	ؤب
jgbj	ةؤ
jgbk	ؤة
jgbl	تؤ
jgbm	ؤت
jgbn	ثؤ
jgbo	ؤث
jgbp	جؤ
jgbq	ؤج
jgbr	حؤ
jgbs	ؤح
jgbt	خؤ
jgbu	ؤخ
jgbv	دؤ
jgbw	ؤد
jgbx	ذؤ
jgby	ؤذ
jgbz	رؤ
jgca	૭૭
jgcb	૮૭
jgcc	૭૮
jgcd	૯૭
jgce	૭૯
jgcf	૰૭
jgcg	૭૰
jgch	૱૭
jgci	૭૱
jgcj	૲૭
jgck	૭૲
jgcl	૳૭
jgcm	૭૳
jgcn	૴૭
jgco	૭૴
jgcp	૵૭
jgcq	૭૵
jgcr	૶૭
jgcs	૭૶
jgct	૷૭
jgcu	૭૷
jgcv	૸૭
jgcw	૭૸
jgcx	ૹ૭
jgcy	૭ૹ
jgcz	ૺ૭
jgda	ྶྶ
jgdb	ྷྶ
jgdc	ྶྷ
jgdd	ྸྶ
jgde	ྶྸ
jgdf	ྐྵྶ
jgdg	ྶྐྵ
jgdh	ྺྶ
jgdi	ྶྺ
jgdj	ྻྶ
jgdk	ྶྻ
jgdl	ྼྶ
jgdm	ྶྼ
jgdn	྽ྶ
jgdo	ྶ྽
jgdp	྾ྶ
jgdq	ྶ྾
jgdr	྿ྶ
jgds	ྶ྿
jgdt	࿀ྶ
jgdu	ྶ࿀
jgdv	࿁ྶ
jgdw	ྶ࿁
jgdx	࿂ྶ
jgdy	ྶ࿂
jgdz	࿃ྶ
jgea	ᑿᑿ
jgeb	ᒀᑿ
jgec	ᑿᒀ
jged	ᒁᑿ
jgee	ᑿᒁ
jgef	ᒂᑿ
jgeg	ᑿᒂ
jgeh	ᒃᑿ
jgei	ᑿᒃ
jgej	ᒄᑿ
jgek	ᑿᒄ
jgel	ᒅᑿ
jgem	ᑿᒅ
jgen	ᒆᑿ
jgeo	ᑿᒆ
jgep	ᒇᑿ
jgeq	ᑿᒇ
jger	ᒈᑿ
jges	ᑿᒈ
jget	ᒉᑿ
jgeu	ᑿᒉ
jgev	ᒊᑿ
jgew	ᑿᒊ
jgex	ᒋᑿ
jgey	ᑿᒋ
jgez	ᒌᑿ
jgfa	᥈᥈
jgfb	᥉᥈
jgfc	᥈᥉
jgfd	᥊᥈
jgfe	᥈᥊
jgff	᥋᥈
jgfg	᥈᥋
jgfh	᥌᥈
jgfi	᥈᥌
jgfj	᥍᥈
jgfk	᥈᥍
jgfl	᥎᥈
jgfm	᥈᥎
jgfn	᥏᥈
jgfo	᥈᥏
jgfp	ᥐ᥈
jgfq	᥈ᥐ
jgfr	ᥑ᥈
jgfs	᥈ᥑ
jgft	ᥒ᥈
jgfu	᥈ᥒ
jgfv	ᥓ᥈
jgfw	᥈ᥓ
jgfx	ᥔ᥈
jgfy	᥈ᥔ
jgga	ḑḑ
jggb	Ḓḑ
jggc	ḑḒ
jggd	ḓḑ
jgge	ḑḓ
jggf	Ḕḑ
jggg	ḑḔ
jggh	ḕḑ
jggi	ḑḕ
jggj	Ḗḑ
jggk	ḑḖ
jggl	ḗḑ
jggm	ḑḗ
jggn	Ḙḑ
jggo	ḑḘ
jggp	ḙḑ
jggq	ḑḙ
jggr	Ḛḑ
jggs	ḑḚ
jggt	ḛḑ
jggu	ḑḛ
jggv	Ḝḑ
jggw	ḑḜ
jggx	ḝḑ
jgha	⋚⋚
jghb	⋛⋚
jghc	⋚⋛
jghd	⋜⋚
jghe	⋚⋜
jghf	⋝⋚
jghg	⋚⋝
jghh	⋞⋚
jghi	⋚⋞
jghj	⋟⋚
jghk	⋚⋟
jghl	⋠⋚
jghm	⋚⋠
jghn	⋡⋚
jgho	⋚⋡
jghp	⋢⋚
jghq	⋚⋢
jghr	⋣⋚
jghs	⋚⋣
jght	⋤⋚
jghu	⋚⋤
jghv	⋥⋚
jghw	⋚⋥
jgia	➣➣
jgib	➤➣
jgic	➣➤
jgid	➥➣
jgie	➣➥
jgif	➦➣
jgig	➣➦
jgih	➧➣
jgii	➣➧
jgij	➨➣
jgik	➣➨
jgil	➩➣
jgim	➣➩
jgin	➪➣
jgio	➣➪
jgip	➫➣
jgiq	➣➫
jgir	➬➣
jgis	➣➬
jgit	➭➣
jgiu	➣➭
jgja	ⱬⱬ
jgjb	Ɑⱬ
jgjc	ⱬⱭ
jgjd	Ɱⱬ
jgje	ⱬⱮ
jgjf	Ɐⱬ
jgjg	ⱬⱯ
jgjh	Ɒⱬ
jgji	ⱬⱰ
jgjj	ⱱⱬ
jgjk	ⱬⱱ
jgjl	Ⱳⱬ
jgjm	ⱬⱲ
jgjn	ⱳⱬ
jgjo	ⱬⱳ
jgjp	ⱴⱬ
jgjq	ⱬⱴ
jgjr	Ⱶⱬ
jgjs	ⱬⱵ
jgjt	ⱶⱬ
jgka	ㄵㄵ
jgkb	ㄶㄵ
jgkc	ㄵㄶ
jgkd	ㄷㄵ
jgke	ㄵㄷ
jgkf	ㄸㄵ
jgkg	ㄵㄸ
jgkh	ㄹㄵ
jgki	ㄵㄹ
jgkj	ㄺㄵ
jgkk	ㄵㄺ
jgkl	ㄻㄵ
jgkm	ㄵㄻ
jgkn	ㄼㄵ
jgko	ㄵㄼ
jgkp	ㄽㄵ
jgkq	ㄵㄽ
jgkr	ㄾㄵ
jgks	ㄵㄾ
jgqa	䷫䷫
jgqb	䷬䷫
jgqc	䷫䷬
jgqd	䷭䷫
jgqe	䷫䷭
jgqf	䷮䷫
jgqg	䷫䷮
jgqh	䷯䷫
jgqi	䷫䷯
jgqj	䷰䷫
jgqk	䷫䷰
jgql	䷱䷫
jgqm	䷫䷱
jgqn	䷲䷫
jgqo	䷫䷲
jhaa	žž
jhab	ſž
jhac	žſ
jhad	ƀž
jhae	žƀ
jhaf	Ɓž
jhag	žƁ
jhah	Ƃž
jhai	žƂ
jhaj	ƃž
jhak	žƃ
jhal	Ƅž
jham	žƄ
jhan	ƅž
jhao	žƅ
jhap	Ɔž
jhaq	žƆ
jhar	Ƈž
jhas	žƇ
jhat	ƈž
jhau	žƈ
jhav	Ɖž
jhaw	žƉ
jhax	Ɗž
jhay	žƊ
jhaz	Ƌž
jhba	هه
jhbb	وه
jhbc	هو
jhbd	ىه
jhbe	هى
jhbf	يه
jhbg	هي
jhbh	ًه
jhbi	هً
jhbj	ٌه
jhbk	هٌ
jhbl	ٍه
jhbm	هٍ
jhbn	َه
jhbo	هَ
jhbp	ُه
jhbq	هُ
jhbr	ِه
jhbs	هِ
jhbt	ّه
jhbu	هّ
jhbv	ْه
jhbw	هْ
jhbx	ٓه
jhby	هٓ
jhbz	ٔه
jhca	ଐଐ
jhcb	଑ଐ
jhcc	ଐ଑
jhcd	଒ଐ
jhce	ଐ଒
jhcf	ଓଐ
jhcg	ଐଓ
jhch	ଔଐ
jhci	ଐଔ
jhcj	କଐ
jhck	ଐକ
jhcl	ଖଐ
jhcm	ଐଖ
jhcn	ଗଐ
jhco	ଐଗ
jhcp	ଘଐ
jhcq	ଐଘ
jhcr	ଙଐ
jhcs	ଐଙ
jhct	ଚଐ
jhcu	ଐଚ
jhcv	ଛଐ
jhcw	ଐଛ
jhcx	ଜଐ
jhcy	ଐଜ
jhcz	ଝଐ
jhda	࿙࿙
jhdb	࿚࿙
jhdc	࿙࿚
jhdd	࿛࿙
jhde	࿙࿛
jhdf	࿜࿙
jhdg	࿙࿜
jhdh	࿝࿙
jhdi	࿙࿝
jhdj	࿞࿙
jhdk	࿙࿞
jhdl	࿟࿙
jhdm	࿙࿟
jhdn	࿠࿙
jhdo	࿙࿠
jhdp	࿡࿙
jhdq	࿙࿡
jhdr	࿢࿙
jhds	࿙࿢
jhdt	࿣࿙
jhdu	࿙࿣
jhdv	࿤࿙
jhdw	࿙࿤
jhdx	࿥࿙
jhdy	࿙࿥
jhdz	࿦࿙
jhea	ᒢᒢ
jheb	ᒣᒢ
jhec	ᒢᒣ
jhed	ᒤᒢ
jhee	ᒢᒤ
jhef	ᒥᒢ
jheg	ᒢᒥ
jheh	ᒦᒢ
jhei	ᒢᒦ
jhej	ᒧᒢ
jhek	ᒢᒧ
jhel	ᒨᒢ
jhem	ᒢᒨ
jhen	ᒩᒢ
jheo	ᒢᒩ
jhep	ᒪᒢ
jheq	ᒢᒪ
jher	ᒫᒢ
jhes	ᒢᒫ
jhet	ᒬᒢ
jheu	ᒢᒬ
jhev	ᒭᒢ
jhew	ᒢᒭ
jhex	ᒮᒢ
jhey	ᒢᒮ
jhez	ᒯᒢ
jhfa	ᥫᥫ
jhfb	ᥬᥫ
jhfc	ᥫᥬ
jhfd	ᥭᥫ
jhfe	ᥫᥭ
jhff	᥮ᥫ
jhfg	ᥫ᥮
jhfh	᥯ᥫ
jhfi	ᥫ᥯
jhfj	ᥰᥫ
jhfk	ᥫᥰ
jhfl	ᥱᥫ
jhfm	ᥫᥱ
jhfn	ᥲᥫ
jhfo	ᥫᥲ
jhfp	ᥳᥫ
jhfq	ᥫᥳ
jhfr	ᥴᥫ
jhfs	ᥫᥴ
jhft	᥵ᥫ
jhfu	ᥫ᥵
jhfv	᥶ᥫ
jhfw	ᥫ᥶
jhfx	᥷ᥫ
jhfy	ᥫ᥷
jhga	ḴḴ
jhgb	ḵḴ
jhgc	Ḵḵ
jhgd	ḶḴ
jhge	ḴḶ
jhgf	ḷḴ
jhgg	Ḵḷ
jhgh	ḸḴ
jhgi	ḴḸ
jhgj	ḹḴ
jhgk	Ḵḹ
jhgl	ḺḴ
jhgm	ḴḺ
jhgn	ḻḴ
jhgo	Ḵḻ
jhgp	ḼḴ
jhgq	ḴḼ
jhgr	ḽḴ
jhgs	Ḵḽ
jhgt	ḾḴ
jhgu	ḴḾ
jhgv	ḿḴ
jhgw	Ḵḿ
jhgx	ṀḴ
jhha	⋽⋽
jhhb	⋾⋽
jhhc	⋽⋾
jhhd	⋿⋽
jhhe	⋽⋿
jhhf	⌀⋽
jhhg	⋽⌀
jhhh	⌁⋽
jhhi	⋽⌁
jhhj	⌂⋽
jhhk	⋽⌂
jhhl	⌃⋽
jhhm	⋽⌃
jhhn	⌄⋽
jhho	⋽⌄
jhhp	⌅⋽
jhhq	⋽⌅
jhhr	⌆⋽
jhhs	⋽⌆
jhht	⌇⋽
jhhu	⋽⌇
jhhv	⌈⋽
jhhw	⋽⌈
jhia	⟆⟆
jhib	⟇⟆
jhic	⟆⟇
jhid	⟈⟆
jhie	⟆⟈
jhif	⟉⟆
jhig	⟆⟉
jhih	⟊⟆
jhii	⟆⟊
jhij	⟋⟆
jhik	⟆⟋
jhil	⟌⟆
jhim	⟆⟌
jhin	⟍⟆
jhio	⟆⟍
jhip	⟎⟆
jhiq	⟆⟎
jhir	⟏⟆
jhis	⟆⟏
jhit	⟐⟆
jhiu	⟆⟐
jhja	ⲏⲏ
jhjb	Ⲑⲏ
jhjc	ⲏⲐ
jhjd	ⲑⲏ
jhje	ⲏⲑ
jhjf	Ⲓⲏ
jhjg	ⲏⲒ
jhjh	ⲓⲏ
jhji	ⲏⲓ
jhjj	Ⲕⲏ
jhjk	ⲏⲔ
jhjl	ⲕⲏ
jhjm	ⲏⲕ
jhjn	Ⲗⲏ
jhjo	ⲏⲖ
jhjp	ⲗⲏ
jhjq	ⲏⲗ
jhjr	Ⲙⲏ
jhjs	ⲏⲘ
jhjt	ⲙⲏ
jhka	ㅘㅘ
jhkb	ㅙㅘ
jhkc	ㅘㅙ
jhkd	ㅚㅘ
jhke	ㅘㅚ
jhkf	ㅛㅘ
jhkg	ㅘㅛ
jhkh	ㅜㅘ
jhki	ㅘㅜ
jhkj	ㅝㅘ
jhkk	ㅘㅝ
jhkl	ㅞㅘ
jhkm	ㅘㅞ
jhkn	ㅟㅘ
jhko	ㅘㅟ
jhkp	ㅠㅘ
jhkq	ㅘㅠ
jhkr	ㅡㅘ
jhks	ㅘㅡ
jiaa	ơơ
jiab	Ƣơ
jiac	ơƢ
jiad	ƣơ
jiae	ơƣ
jiaf	Ƥơ
jiag	ơƤ
jiah	ƥơ
jiai	ơƥ
jiaj	Ʀơ
jiak	ơƦ
jial	Ƨơ
jiam	ơƧ
jian	ƨơ
jiao	ơƨ
jiap	Ʃơ
jiaq	ơƩ
jiar	ƪơ
jias	ơƪ
jiat	ƫơ
jiau	ơƫ
jiav	Ƭơ
jiaw	ơƬ
jiax	ƭơ
jiay	ơƭ
jiaz	Ʈơ
jiba	٪٪
jibb	٫٪
jibc	٪٫
jibd	٬٪
jibe	٪٬
jibf	٭٪
jibg	٪٭
jibh	ٮ٪
jibi	٪ٮ
jibj	ٯ٪
jibk	٪ٯ
jibl	ٰ٪
jibm	٪ٰ
jibn	ٱ٪
jibo	٪ٱ
jibp	ٲ٪
jibq	٪ٲ
jibr	ٳ٪
jibs	٪ٳ
jibt	ٴ٪
jibu	٪ٴ
jibv	ٵ٪
jibw	٪ٵ
jibx	ٶ٪
jiby	٪ٶ
jibz	ٷ٪
jica	ଳଳ
jicb	଴ଳ
jicc	ଳ଴
jicd	ଵଳ
jice	ଳଵ
jicf	ଶଳ
jicg	ଳଶ
jich	ଷଳ
jici	ଳଷ
jicj	ସଳ
jick	ଳସ
jicl	ହଳ
jicm	ଳହ
jicn	଺ଳ
jico	ଳ଺
jicp	଻ଳ
jicq	ଳ଻
jicr	଼ଳ
jics	ଳ଼
jict	ଽଳ
jicu	ଳଽ
jicv	ାଳ
jicw	ଳା
jicx	ିଳ
jicy	ଳି
jicz	ୀଳ
jida	࿼࿼
jidb	࿽࿼
jidc	࿼࿽
jidd	࿾࿼
jide	࿼࿾
jidf	࿿࿼
jidg	࿼࿿
jidh	က࿼
jidi	࿼က
jidj	ခ࿼
jidk	࿼ခ
jidl	ဂ࿼
jidm	࿼ဂ
jidn	ဃ࿼
jido	࿼ဃ
jidp	င࿼
jidq	࿼င
jidr	စ࿼
jids	࿼စ
jidt	ဆ࿼
jidu	࿼ဆ
jidv	ဇ࿼
jidw	࿼ဇ
jidx	ဈ࿼
jidy	࿼ဈ
jidz	ဉ࿼
jiea	ᓅᓅ
jieb	ᓆᓅ
jiec	ᓅᓆ
jied	ᓇᓅ
jiee	ᓅᓇ
jief	ᓈᓅ
jieg	ᓅᓈ
jieh	ᓉᓅ
jiei	ᓅᓉ
jiej	ᓊᓅ
jiek	ᓅᓊ
jiel	ᓋᓅ
jiem	ᓅᓋ
jien	ᓌᓅ
jieo	ᓅᓌ
jiep	ᓍᓅ
jieq	ᓅᓍ
jier	ᓎᓅ
jies	ᓅᓎ
jiet	ᓏᓅ
jieu	ᓅᓏ
jiev	ᓐᓅ
jiew	ᓅᓐ
jiex	ᓑᓅ
jiey	ᓅᓑ
jiez	ᓒᓅ
jifa	ᦎᦎ
jifb	ᦏᦎ
jifc	ᦎᦏ
jifd	ᦐᦎ
jife	ᦎᦐ
jiff	ᦑᦎ
jifg	ᦎᦑ
jifh	ᦒᦎ
jifi	ᦎᦒ
jifj	ᦓᦎ
jifk	ᦎᦓ
jifl	ᦔᦎ
jifm	ᦎᦔ
jifn	ᦕᦎ
jifo	ᦎᦕ
jifp	ᦖᦎ
jifq	ᦎᦖ
jifr	ᦗᦎ
jifs	ᦎᦗ
jift	ᦘᦎ
jifu	ᦎᦘ
jifv	ᦙᦎ
jifw	ᦎᦙ
jifx	ᦚᦎ
jify	ᦎᦚ
jiga	ṗṗ
jigb	Ṙṗ
jigc	ṗṘ
jigd	ṙṗ
jige	ṗṙ
jigf	Ṛṗ
jigg	ṗṚ
jigh	ṛṗ
jigi	ṗṛ
